subscriber_id,cohort_month,city,channel,category,plan_tenure_months,monthly_rental_inr,first_delivery_delay_days,nps_score,payment_failures_90d,swap_requests_60d,support_tickets_60d,subscriber_age,churn_month,is_churned,months_observable,months_active,revenue_inr
1,2024-02-01,Mumbai,Google_Ads,Bed,3,1201,5,6,0,0,1,37,,0,27,27,32427
2,2024-10-01,Bengaluru,Referral,Wardrobe,6,1010,1,5,1,0,1,30,11.0,1,19,11,11110
3,2024-08-01,Delhi,Direct,Full_Home,3,3869,3,6,0,0,1,26,,0,21,21,81249
4,2024-06-01,Bengaluru,Meta_Ads,Sofa,6,1294,1,8,1,0,0,24,21.0,1,23,21,27174
5,2024-06-01,Bengaluru,Referral,Sofa,12,1529,2,1,0,0,0,34,1.0,1,23,1,1529
6,2024-11-01,Mumbai,Organic,Wardrobe,3,1079,3,7,0,0,1,31,,0,18,18,19422
7,2024-02-01,Delhi,Direct,Sofa,12,1301,3,6,1,0,3,26,,0,27,27,35127
8,2024-09-01,Pune,Meta_Ads,Study,12,943,0,9,0,0,1,30,8.0,1,20,8,7544
9,2024-03-01,Hyderabad,Google_Ads,Bed,3,1245,4,1,0,0,2,27,1.0,1,26,1,1245
10,2024-02-01,Pune,Google_Ads,Full_Home,6,3456,0,9,0,0,0,27,,0,27,27,93312
11,2024-07-01,Hyderabad,Organic,Full_Home,3,3535,0,1,0,1,1,29,1.0,1,22,1,3535
12,2024-12-01,Hyderabad,Referral,Wardrobe,12,1100,2,7,0,0,1,30,,0,17,17,18700
13,2024-09-01,Bengaluru,Meta_Ads,Full_Home,6,4154,0,4,3,0,0,25,,0,20,20,83080
14,2024-10-01,Delhi,Google_Ads,Sofa,12,1776,3,6,0,0,2,27,14.0,1,19,14,24864
15,2024-09-01,Bengaluru,Google_Ads,Dining,12,1741,2,6,0,0,0,38,,0,20,20,34820
16,2024-10-01,Bengaluru,Meta_Ads,Dining,6,1898,0,10,0,0,0,24,,0,19,19,36062
17,2024-07-01,Bengaluru,Direct,Bed,12,1234,1,7,2,0,2,30,,0,22,22,27148
18,2024-02-01,Pune,Meta_Ads,Sofa,3,1580,0,1,0,0,1,32,1.0,1,27,1,1580
19,2024-11-01,Hyderabad,Organic,Wardrobe,3,1044,4,7,0,0,1,26,2.0,1,18,2,2088
20,2024-06-01,Chennai,Meta_Ads,Wardrobe,6,1032,3,7,0,0,2,26,6.0,1,23,6,6192
21,2024-07-01,Chennai,Referral,Study,12,1047,3,7,0,1,1,25,,0,22,22,23034
22,2024-05-01,Pune,Referral,Sofa,3,1551,1,8,1,0,0,24,,0,24,24,37224
23,2024-03-01,Bengaluru,Google_Ads,Sofa,6,1412,1,8,0,1,1,37,2.0,1,26,2,2824
24,2024-12-01,Pune,Organic,Full_Home,12,4382,2,5,1,0,0,27,,0,17,17,74494
25,2024-10-01,Pune,Referral,Sofa,3,1413,3,6,0,0,1,29,,0,19,19,26847
26,2024-08-01,Pune,Direct,Full_Home,6,3516,2,6,0,0,1,24,,0,21,21,73836
27,2024-05-01,Bengaluru,Meta_Ads,Study,3,949,0,1,0,1,1,31,1.0,1,24,1,949
28,2024-10-01,Bengaluru,Google_Ads,Dining,3,1436,0,7,1,0,0,26,,0,19,19,27284
29,2024-07-01,Chennai,Meta_Ads,Bed,6,1429,3,1,2,0,1,33,1.0,1,22,1,1429
30,2024-06-01,Bengaluru,Organic,Full_Home,12,4012,2,9,0,0,0,24,21.0,1,23,21,84252
31,2024-06-01,Mumbai,Google_Ads,Full_Home,3,4612,0,6,0,1,1,38,2.0,1,23,2,9224
32,2024-03-01,Mumbai,Direct,Study,6,891,3,6,1,0,3,26,1.0,1,26,1,891
33,2024-02-01,Bengaluru,Google_Ads,Study,12,889,1,8,1,0,1,31,10.0,1,27,10,8890
34,2024-07-01,Bengaluru,Direct,Wardrobe,6,999,0,6,1,0,0,31,2.0,1,22,2,1998
35,2024-11-01,Chennai,Meta_Ads,Sofa,6,1649,2,8,1,0,0,34,6.0,1,18,6,9894
36,2024-01-01,Pune,Google_Ads,Full_Home,6,3616,3,5,1,0,2,21,11.0,1,28,11,39776
37,2024-11-01,Chennai,Meta_Ads,Sofa,12,1453,5,6,0,0,3,24,3.0,1,18,3,4359
38,2024-10-01,Mumbai,Organic,Wardrobe,12,943,1,1,1,0,0,27,1.0,1,19,1,943
39,2024-04-01,Bengaluru,Referral,Bed,3,1281,0,9,0,0,0,35,,0,25,25,32025
40,2024-08-01,Mumbai,Meta_Ads,Full_Home,6,4675,2,7,0,0,1,28,2.0,1,21,2,9350
41,2024-02-01,Mumbai,Google_Ads,Study,6,963,0,7,1,1,2,38,4.0,1,27,4,3852
42,2024-10-01,Bengaluru,Direct,Dining,6,1641,2,7,0,0,0,40,,0,19,19,31179
43,2024-09-01,Hyderabad,Meta_Ads,Sofa,6,1342,0,1,0,0,1,29,1.0,1,20,1,1342
44,2024-05-01,Chennai,Google_Ads,Bed,12,1366,0,9,0,0,0,41,18.0,1,24,18,24588
45,2024-01-01,Delhi,Referral,Sofa,12,1693,5,6,1,0,1,27,5.0,1,28,5,8465
46,2024-12-01,Mumbai,Google_Ads,Full_Home,6,3904,0,4,2,0,1,30,15.0,1,17,15,58560
47,2024-06-01,Mumbai,Google_Ads,Sofa,3,1748,3,7,1,0,1,31,3.0,1,23,3,5244
48,2024-11-01,Bengaluru,Meta_Ads,Full_Home,6,3891,4,6,1,0,2,37,12.0,1,18,12,46692
49,2024-09-01,Bengaluru,Organic,Sofa,6,1358,1,8,1,0,1,35,11.0,1,20,11,14938
50,2024-10-01,Delhi,Meta_Ads,Full_Home,6,4558,4,7,0,1,2,29,,0,19,19,86602
51,2024-10-01,Mumbai,Direct,Dining,12,1676,0,6,0,1,1,26,,0,19,19,31844
52,2024-03-01,Delhi,Google_Ads,Full_Home,12,4122,2,7,0,1,0,31,,0,26,26,107172
53,2024-05-01,Pune,Direct,Dining,12,1877,2,4,0,2,0,33,,0,24,24,45048
54,2024-06-01,Bengaluru,Google_Ads,Full_Home,12,4554,1,8,1,0,0,36,,0,23,23,104742
55,2024-06-01,Bengaluru,Google_Ads,Study,6,1077,1,1,0,0,0,38,1.0,1,23,1,1077
56,2024-01-01,Bengaluru,Google_Ads,Bed,6,1419,1,1,1,1,1,28,1.0,1,28,1,1419
57,2024-07-01,Bengaluru,Google_Ads,Full_Home,12,4210,1,7,0,2,0,26,3.0,1,22,3,12630
58,2024-02-01,Delhi,Meta_Ads,Study,6,934,0,6,0,0,0,32,6.0,1,27,6,5604
59,2024-09-01,Pune,Referral,Sofa,3,1461,2,4,2,0,0,22,3.0,1,20,3,4383
60,2024-09-01,Pune,Referral,Bed,3,1186,0,8,0,0,0,38,,0,20,20,23720
61,2024-12-01,Delhi,Organic,Wardrobe,12,1138,2,1,0,0,0,25,1.0,1,17,1,1138
62,2024-09-01,Mumbai,Google_Ads,Full_Home,6,3408,4,8,0,0,2,30,20.0,1,20,20,68160
63,2024-05-01,Bengaluru,Referral,Full_Home,12,4642,0,1,0,0,2,22,1.0,1,24,1,4642
64,2024-12-01,Mumbai,Meta_Ads,Bed,6,1223,1,9,0,1,0,25,,0,17,17,20791
65,2024-05-01,Mumbai,Organic,Study,6,839,3,6,2,0,1,33,14.0,1,24,14,11746
66,2024-04-01,Pune,Organic,Sofa,12,1278,2,9,0,1,0,24,,0,25,25,31950
67,2024-11-01,Mumbai,Google_Ads,Bed,12,1268,2,7,0,0,0,27,,0,18,18,22824
68,2024-05-01,Bengaluru,Meta_Ads,Full_Home,3,3523,0,6,1,0,0,38,2.0,1,24,2,7046
69,2024-01-01,Mumbai,Direct,Sofa,3,1371,3,8,0,0,1,32,10.0,1,28,10,13710
70,2024-06-01,Bengaluru,Google_Ads,Bed,6,1417,0,10,0,0,1,27,,0,23,23,32591
71,2024-10-01,Chennai,Organic,Sofa,3,1492,3,1,0,0,2,21,1.0,1,19,1,1492
72,2024-03-01,Bengaluru,Direct,Sofa,6,1280,1,8,0,0,1,36,2.0,1,26,2,2560
73,2024-06-01,Bengaluru,Meta_Ads,Sofa,12,1440,0,1,0,0,0,38,1.0,1,23,1,1440
74,2024-02-01,Bengaluru,Meta_Ads,Sofa,3,1277,0,7,0,0,4,21,,0,27,27,34479
75,2024-09-01,Pune,Meta_Ads,Wardrobe,6,1169,5,1,0,0,1,21,1.0,1,20,1,1169
76,2024-06-01,Delhi,Referral,Full_Home,6,4604,1,1,0,0,2,34,1.0,1,23,1,4604
77,2024-04-01,Delhi,Meta_Ads,Sofa,6,1459,0,8,1,0,0,25,,0,25,25,36475
78,2024-03-01,Mumbai,Meta_Ads,Full_Home,6,3736,0,1,0,1,0,34,2.0,1,26,2,7472
79,2024-07-01,Bengaluru,Google_Ads,Study,3,798,1,10,0,0,1,26,,0,22,22,17556
80,2024-09-01,Pune,Direct,Sofa,12,1644,4,8,0,0,1,36,18.0,1,20,18,29592
81,2024-12-01,Bengaluru,Referral,Bed,12,1159,1,8,0,0,0,21,,0,17,17,19703
82,2024-06-01,Bengaluru,Organic,Sofa,6,1625,0,9,0,0,0,28,,0,23,23,37375
83,2024-02-01,Delhi,Direct,Full_Home,12,3761,3,6,1,0,3,27,4.0,1,27,4,15044
84,2024-10-01,Bengaluru,Organic,Study,3,994,2,1,0,0,0,33,2.0,1,19,2,1988
85,2024-08-01,Bengaluru,Direct,Bed,6,1283,1,7,0,0,0,29,13.0,1,21,13,16679
86,2024-09-01,Pune,Google_Ads,Sofa,12,1346,2,7,0,1,0,28,,0,20,20,26920
87,2024-02-01,Mumbai,Google_Ads,Sofa,6,1420,0,1,0,0,0,27,1.0,1,27,1,1420
88,2024-04-01,Bengaluru,Referral,Dining,12,1745,0,8,1,0,0,21,,0,25,25,43625
89,2024-10-01,Mumbai,Meta_Ads,Sofa,6,1634,1,8,0,1,2,27,5.0,1,19,5,8170
90,2024-10-01,Hyderabad,Meta_Ads,Wardrobe,12,1058,4,1,1,0,1,25,1.0,1,19,1,1058
91,2024-06-01,Bengaluru,Organic,Dining,3,1540,0,1,1,0,0,32,1.0,1,23,1,1540
92,2024-10-01,Bengaluru,Organic,Study,3,964,1,9,0,0,0,25,,0,19,19,18316
93,2024-11-01,Delhi,Meta_Ads,Sofa,6,1296,3,6,2,0,1,33,11.0,1,18,11,14256
94,2024-05-01,Delhi,Meta_Ads,Wardrobe,12,1060,1,6,1,0,1,26,13.0,1,24,13,13780
95,2024-11-01,Chennai,Meta_Ads,Wardrobe,3,1122,1,7,0,0,1,28,4.0,1,18,4,4488
96,2024-04-01,Mumbai,Google_Ads,Full_Home,3,3593,1,8,0,0,0,29,2.0,1,25,2,7186
97,2024-03-01,Bengaluru,Google_Ads,Wardrobe,12,1135,0,7,1,1,2,25,23.0,1,26,23,26105
98,2024-09-01,Delhi,Meta_Ads,Bed,6,1516,4,7,0,0,1,30,,0,20,20,30320
99,2024-08-01,Delhi,Referral,Sofa,6,1777,2,6,0,0,1,21,,0,21,21,37317
100,2024-02-01,Bengaluru,Meta_Ads,Study,3,774,2,7,1,1,1,32,13.0,1,27,13,10062
101,2024-10-01,Delhi,Meta_Ads,Dining,12,1860,2,1,0,0,0,30,3.0,1,19,3,5580
102,2024-03-01,Bengaluru,Organic,Study,12,784,1,6,2,0,0,32,,0,26,26,20384
103,2024-10-01,Pune,Google_Ads,Study,12,884,3,7,1,0,1,35,,0,19,19,16796
104,2024-01-01,Pune,Meta_Ads,Full_Home,3,4167,1,7,0,1,0,40,6.0,1,28,6,25002
105,2024-10-01,Mumbai,Google_Ads,Full_Home,6,3709,0,8,0,0,1,27,18.0,1,19,18,66762
106,2024-10-01,Chennai,Organic,Bed,6,1261,2,6,1,0,1,25,17.0,1,19,17,21437
107,2024-10-01,Chennai,Google_Ads,Sofa,12,1751,4,3,2,0,1,27,2.0,1,19,2,3502
108,2024-08-01,Bengaluru,Meta_Ads,Full_Home,12,3644,1,7,1,1,0,37,,0,21,21,76524
109,2024-06-01,Mumbai,Meta_Ads,Study,12,934,0,7,1,0,2,24,17.0,1,23,17,15878
110,2024-09-01,Delhi,Referral,Full_Home,6,4557,1,1,0,0,0,43,1.0,1,20,1,4557
111,2024-04-01,Bengaluru,Organic,Wardrobe,3,933,0,1,0,1,0,30,1.0,1,25,1,933
112,2024-10-01,Mumbai,Direct,Full_Home,12,4708,2,4,2,1,0,31,1.0,1,19,1,4708
113,2024-07-01,Bengaluru,Organic,Sofa,6,1788,0,8,1,1,0,38,,0,22,22,39336
114,2024-06-01,Chennai,Meta_Ads,Dining,3,1508,3,7,0,2,2,27,2.0,1,23,2,3016
115,2024-07-01,Mumbai,Google_Ads,Wardrobe,12,1015,2,4,1,1,0,31,2.0,1,22,2,2030
116,2024-07-01,Hyderabad,Google_Ads,Sofa,3,1280,3,7,0,0,1,36,14.0,1,22,14,17920
